Id,Edit status,Owner,Group type,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Article Title,Content Type,Keywords,Included in phase 1?,Included in phase 2,Help docs scope (needs further discussion),Changes to existing doc (if applicable),Document change type,Existing content link (if applicable),Content dimensions,Group description (if applicable),Doc description (if applicable),User research validation,Primary targetted personas
681,Third review,Robert Nicolo,Home page,,,,,,,Homepage,Website homepage,,"""Yes, homepage links will need to be updated at minimal.""",TBD,"No, doc specific to dev docs","- Update links that will be broken
- The last update of the homepage has been restructured to be more tasked based so changes should be minimal.",Existing doc: changes needed,,No doc dimension,,,,"WIC App Developer,Experienced IAM developer"
1,Third review,Robert Nicolo,Main content,Learn,,,,,,Learn about Okta and Identity Access Management,Guide Hub,,"""Yes, phase 1 version can be a very simple guide hub.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"'- The ""Learn"" section guides developers through the essentials of Identity Access Management (IAM), offering a comprehensive introduction to IAM fundamentals and our company's product suite. 
- Topics are oriented to developers new'ish to IAM or Okta's products.
- It serves as a one-stop resource for understanding our products' features, the necessary tools for development, and industry best practices, ensuring developers have a solid foundation to start building secure and efficient applications.
- The scope of these docs includes:
    - Basic high-level concepts such as:
            - OAuth and OIDC flows
            - SAML concepts
            - IAM Fundamentals
            - WIC overview
            - Okta org model
    - Setting up your development environment for developing with Okta's technologies
    - Include topics not directly related to building a solution, reference topics, and publishing on the OIN.",Guide hub - sets up journey's and provides links to sub groups and docs,"Why a Learn grouip?
- Respondents with an IAM experience level lower than 5 say that the developer docs ""Needs improvement""
- Respondents with IAM experience level lower that 5 say that they rarely come to the site
- 9% of respondents answered ""recommended changes"" with  ""simply content""
- 23.1% of respondents answered the ""what's missing"" question with more ""best practices""

Source: https://docs.google.com/presentation/d/1Y3Yz7pJTB2FV_0i7enEsLRB3JSU-wzB9ZOcAycQwgTI/edit#slide=id.g2bf58961545_1_2609
","New IAM Developers,Developers new to Okta"
454,Third review,Robert Nicolo,Main content,Learn,Discover Okta,,,,,Discover Okta,Conceptual overview,,"""Yes, for phase 1 existing content can be minimally updated.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.","The current doc needs to be updated for Okta's current offerings including for the PAM, Identity Governance products.
",Existing doc: changes needed,- What is Okta: https://developer.okta.com/docs/concepts/how-okta-works/,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
488,Third review,Robert Nicolo,Main content,Learn,Workforce Identity Cloud (WIC) Explained,,,,,Worforce Identity Cloud (WIC) Explained,Conceptual overview,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,Explains WIC and compares it to the CIC domain. Describes the domain of what developer.okta.com covers.,"- 26% of respondents could not identify Workforce Identity Cloud despite ""Workforce"" being in the definition.
- Developers new to IAM and Okta are less satisfied with the docs and visit rarely. This document is aimed at this demographic. We want to help these personas ""discover"" okta.","New IAM Developers,Developers new to Okta"
141,Third review,Robert Nicolo,Main content,Learn,IAM fundamentals,,,,,Identity access management fundamentals,Conceptual overview,,"""Yes, for phase 1 can be a siimple doc from existing content.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,"This is a new doc. Bits of this doc can come from:	
- Identity and Access Management (IAM) overview: https://developer.okta.com/docs/concepts/iam-overview/",No doc dimension,,Explains at a high level what is IAM.	,See (Id 1),"New IAM Developers,Developers new to Okta"
644,Third review,Robert Nicolo,Main content,Learn,MFA explained,,,,,MFA explained,Explanation,,"""No, new content can be created at later phase.""",TBD,"Maybe. If a help doc already exists, this doc can be a summary redirect to the main help doc page.",,New doc - new content,,No doc dimension,,"Explain the very basic concept of MFA. Also, explain the difference between a Factor and an Authenticator. ","'- External Oktane 2023: 20% of respondents placed ""Multi-factor Authentication"" under ""IAM Fundamentals"". 
- After discussions with employees (and probably customers as well) there is a misunderstanding of what is a ""Factor"" and what is an Authenticator"". This section could also clear this up as well.","New IAM Developers,Developers new to Okta"
400,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,,,,,Understand OAuth and OpenID Connect,Dynamic Index,,"""No, new content can be created at later phase.""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,"This section specifically isolates the OAuth and OpenId Connect products for Okta specific features and products.

Interaction code grant type is an ""extension"" of Oauth and OIDC.",,"- At Oktane MatchIt game, 27.3% could not identify OAuth.","New IAM Developers,Developers new to Okta"
147,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,,,,OAuth and OIDC Explained,Conceptual overview,,"""Yes, it's existing content requiring little to no change""",TBD,"No, targetted towards developers",,Existing doc: no changes identified,"- OAuth 2.0 and OpenID Connect overview: https://developer.okta.com/docs/concepts/oauth-openid/
",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
505,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),,,Flows (grant types),Dynamic Index,,"""Yes, content defined as a dynamic index""",TBD,"No, it's ""glue"" documentation not related to the product help docs",,New doc - new content,,No doc dimension,,,,"New IAM Developers,Developers new to Okta"
513,Third review,Robert Nicolo,Main content,Learn,Understand OAuth and OpenID Connect,OAuth and OIDC Explained,Flows (grant types),Authorization code flow,,Authorization code flow,Conceptual overview,,"""Yes, but for phase 1 we can keep all flows one guide""",TBD,"No, targetted towards developers",,New doc with new content but also pulling from existing content,"Pull from below existing content:
- Implement authorization by grant type (Authorization code dimension): https://developer.okta.com/docs/guides/implement-grant-type/authcode/main/",No doc dimension,,,,"New IAM Developers,Developers new to Okta"
